,,プロジェクト名,宿泊税 LGWAN-ASPシステム開発,作成者,亀井,,,
画面項目一覧表,,画面物理名,nokigenConfig,作成日,2026/7/2,,,
,,画面論理名,納入期限登録/編集/照会,更新日,,,,
,,,,,,,,
No.,項目名,DBテーブル,DBカラム,部品の種類,有効,備考,,
1,年度,m_nokigen,nendo,テキストボックス,○,,,
2,1期(),m_nokigen,1st_nokigen,カレンダー,〇,()内は自治体情報マスタの年度開始月が入る,,
3,2期(),m_nokigen,2nd_nokigen,カレンダー,○,()内は1期の翌月が入る,,
4,3期(),m_nokigen,3th_nokigen,カレンダー,○,()内は2期の翌月が入る,,
5,4期(),m_nokigen,4th_nokigen,カレンダー,○,()内は3期の翌月が入る,,
6,5期(),m_nokigen,5th_nokigen,カレンダー,○,()内は4期の翌月が入る,,
7,6期(),m_nokigen,6th_nokigen,カレンダー,○,()内は5期の翌月が入る,,
8,7期(),m_nokigen,7th_nokigen,カレンダー,○,()内は6期の翌月が入る,,
9,8期(),m_nokigen,8th_nokigen,カレンダー,○,()内は7期の翌月が入る,,
10,9期(),m_nokigen,9th_nokigen,カレンダー,○,()内は8期の翌月が入る,,
11,10期(),m_nokigen,10th_nokigen,カレンダー,○,()内は9期の翌月が入る,,
12,11期(),m_nokigen,11th_nokigen,カレンダー,○,()内は10期の翌月が入る,,
13,12期(),m_nokigen,12th_nokigen,カレンダー,○,()内は11期の翌月が入る,,
14,登録する,ー,ー,ボタン,〇,新規登録の場合のみ表示される,,
15,更新する,ー,ー,ボタン,〇,編集の場合のみ表示される,,
16,前年度を複写する,ー,ー,ボタン,〇,,,
17,一覧に戻る,ー,ー,ボタン,〇,,,
